label	text
spam	FELICIDADES! Has ganado un iPhone 15. Reclama ahora en http://bit.ly/premio-iphone
spam	URGENTE: Tu cuenta bancaria sera suspendida. Verifica tus datos: http://bbva-seguro.co
spam	Has sido seleccionado para un prestamo de $50,000 sin requisitos. Llama YA al 800-555-1234
spam	Promo exclusiva!!! 90% de descuento en Amazon. Compra ahora antes que se acabe http://amazon-ofertas.net
spam	GANA DINERO desde casa, hasta $5,000 semanales. Envia HOLA al 4040
spam	Tu paquete de DHL no pudo ser entregado. Confirma direccion: http://dhl-rastreo.info
spam	Netflix: tu suscripcion vencio. Actualiza tu metodo de pago aqui http://netflix-pago.cc
spam	Banco Santander: detectamos un acceso sospechoso. Verifica tu identidad: http://santander-acceso.com
spam	Hola guapa, tengo fotos para ti. Mira aqui http://chicas-online.xyz
spam	Tu factura de CFE esta vencida. Paga en linea o se cortara la luz: http://cfe-pagos.tk
spam	Loteria Nacional: tu numero salio premiado con 100,000 EUR. Reclama: premio@loteria-es.org
spam	OFERTA UNICA: Viagra y Cialis al 70% off, envio gratis. Pedidos: http://farmacia-rapida.ru
spam	Premio Coca-Cola: ganaste un viaje todo pagado a Cancun. Confirma datos en http://cocacola-promo.com
spam	Reactiva tu cuenta de WhatsApp antes de 24h o sera eliminada: http://whatsapp-verifica.net
spam	Aprovecha! Bitcoin gratis cada hora, registrate ya http://btc-free-faucet.io
spam	Tu tarjeta Visa fue bloqueada por seguridad. Desbloquea: http://visa-soporte.cc
spam	GRATIS!!! Curso de ingles avanzado en 7 dias. Cupos limitados http://aprende-rapido.online
spam	Has recibido una transferencia de $1,250 USD. Reclama tu codigo aqui: http://paypal-confirma.org
spam	SAT: tienes una devolucion pendiente de $8,400. Ingresa CURP en http://sat-devoluciones.mx-info.com
spam	Sorteo Mercado Libre: ganaste $25,000 MXN en compras. Reclama: http://meli-sorteo.win
spam	Empleo desde casa $1,500/dia. Sin experiencia. WhatsApp: +52 55 1234 5678
spam	Tu cuenta de Instagram sera eliminada por copyright. Apela aqui: http://insta-soporte.help
spam	Inversion garantizada 30% mensual en cripto. Empieza con solo $100 http://cripto-rico.net
spam	FELICITACIONES! Eres el visitante 1,000,000. Reclama tu MacBook gratis http://promo-apple.fake
spam	Tu Spotify premium expira hoy. Renueva con un click: http://spotify-renovar.cc
spam	BBVA Mexico: nuevo intento de acceso desde Rusia. Bloquea aqui http://bbva-seguridad.tk
spam	Aumenta el tamano de tu pene 5cm en 2 semanas, garantizado. Pedidos: http://pastillas-hombres.shop
spam	Tu pedido de Aliexpress requiere pago de aduana de $4. Paga aqui http://aduana-mx.online
spam	OFERTON Liverpool: pantalla 65 pulgadas a $999. Solo hoy http://liverpool-mx.deals
spam	Has ganado el sorteo del Banco BBVA. Para reclamar, envia tus datos a premios@bbva-mx.cc
spam	Hola amor, soy Maria. Conocenos en http://citas-locales.cc
